chart,k,N1,N0,lamda,h,anomaly_type,shift,N_arl,ARL,std
WLRT,9,2000,50,0.1,14.525,beta0,0,1000,206.336,9.51453105
WLRT,9,2000,50,0.1,14.525,beta0,0.01,1000,117.927,5.685405673
WLRT,9,2000,50,0.1,14.525,beta0,0.02,1000,49.123,2.593272811
WLRT,9,2000,50,0.1,14.525,beta0,0.03,1000,23.268,0.384837857
WLRT,9,2000,50,0.1,14.525,beta0,0.04,1000,14.837,0.154014386
WLRT,9,2000,50,0.1,14.525,beta0,0.06,1000,8.829,0.054770056
WLRT,9,2000,50,0.1,14.525,beta0,0.08,1000,6.444,0.02988083
WLRT,9,2000,50,0.1,14.525,beta0,0.1,1000,5.133,0.021709698
WLRT,9,2000,50,0.1,14.525,beta0,0.12,1000,4.286,0.016679448
WLRT,9,2000,50,0.1,14.525,beta0,0.15,1000,3.422,0.015681709
WLRT,10,2000,50,0.1,13.4859375,beta0,0,1000,201.045,9.577333605
WLRT,10,2000,50,0.1,13.4859375,beta0,0.01,1000,112.26,5.256019064
WLRT,10,2000,50,0.1,13.4859375,beta0,0.02,1000,45.35,1.276105599
WLRT,10,2000,50,0.1,13.4859375,beta0,0.03,1000,22.284,0.344812042
WLRT,10,2000,50,0.1,13.4859375,beta0,0.04,1000,14.434,0.144995324
WLRT,10,2000,50,0.1,13.4859375,beta0,0.06,1000,8.715,0.052988442
WLRT,10,2000,50,0.1,13.4859375,beta0,0.08,1000,6.443,0.029167636
WLRT,10,2000,50,0.1,13.4859375,beta0,0.1,1000,5.103,0.020059686
WLRT,10,2000,50,0.1,13.4859375,beta0,0.12,1000,4.257,0.015650911
WLRT,10,2000,50,0.1,13.4859375,beta0,0.15,1000,3.372,0.015284502
WLRT,10,2000,200,0.1,12.35,beta0,0,1000,199.035,7.271095363
WLRT,10,2000,200,0.1,12.35,beta0,0.01,1000,121.814,4.164204534
WLRT,10,2000,200,0.1,12.35,beta0,0.02,1000,40.829,0.93327475
WLRT,10,2000,200,0.1,12.35,beta0,0.03,1000,19.786,0.265620413
WLRT,10,2000,200,0.1,12.35,beta0,0.04,1000,13.029,0.120599167
WLRT,10,2000,200,0.1,12.35,beta0,0.06,1000,7.915,0.045384744
WLRT,10,2000,200,0.1,12.35,beta0,0.08,1000,5.81,0.02727453
WLRT,10,2000,200,0.1,12.35,beta0,0.1,1000,4.694,0.018065547
WLRT,10,2000,200,0.1,12.35,beta0,0.12,1000,3.923,0.01367739
WLRT,10,2000,200,0.1,12.35,beta0,0.15,1000,3.116,0.010224676
WLRT,10,2000,200,0.1,12.35,beta0,-0.01,10000,130.3396,1.370104218
WLRT,10,2000,200,0.1,12.35,beta0,-0.02,10000,48.4227,0.369773718
WLRT,10,2000,200,0.1,12.35,beta0,-0.03,10000,22.8608,0.106306925
WLRT,10,2000,200,0.1,12.35,beta0,-0.04,10000,14.5151,0.043317401
WLRT,10,2000,200,0.1,12.35,beta0,-0.06,10000,8.8923,0.01604899
WLRT,10,2000,200,0.1,12.35,beta0,-0.08,10000,6.6519,0.009069324
WLRT,10,2000,200,0.1,12.35,beta0,-0.1,10000,5.3937,0.006315856
WLRT,10,2000,200,0.1,12.35,beta0,-0.12,10000,4.591,0.005365808
WLRT,10,2000,200,0.1,12.35,beta0,0,10000,204.5813,2.327566738
WLRT,10,2000,200,0.1,12.35,beta0,0.01,10000,112.917,1.221350986
WLRT,10,2000,200,0.1,12.35,beta0,0.02,10000,40.6067,0.291645952
WLRT,10,2000,200,0.1,12.35,beta0,0.03,10000,19.9473,0.089384184
WLRT,10,2000,200,0.1,12.35,beta0,0.04,10000,12.9234,0.037534427
WLRT,10,2000,200,0.1,12.35,beta0,0.06,10000,7.9015,0.014379144
WLRT,10,2000,200,0.1,12.35,beta0,0.08,10000,5.8241,0.008447243
WLRT,10,2000,200,0.1,12.35,beta0,0.1,10000,4.6646,0.006005887
WLRT,10,2000,200,0.1,12.35,beta0,0.12,10000,3.9493,0.004428651
WLRT,10,2000,200,0.1,12.35,beta1,-0.01,10000,199.7432,2.300518799
WLRT,10,2000,200,0.1,12.35,beta1,-0.02,10000,179.5757,1.966215987
WLRT,10,2000,200,0.1,12.35,beta1,-0.03,10000,165.6797,1.852775046
WLRT,10,2000,200,0.1,12.35,beta1,-0.05,10000,121.3296,1.238981984
WLRT,10,2000,200,0.1,12.35,beta1,-0.07,10000,81.5983,0.755970273
WLRT,10,2000,200,0.1,12.35,beta1,-0.1,10000,45.1344,0.330625458
WLRT,10,2000,200,0.1,12.35,beta1,-0.15,10000,21.5694,0.097719897
WLRT,10,2000,200,0.1,12.35,beta1,-0.2,10000,14.0577,0.042834298
WLRT,10,2000,200,0.1,12.35,beta1,-0.25,10000,10.569,0.023987578
WLRT,10,2000,200,0.1,12.35,beta1,-0.3,10000,8.5223,0.015854661
WLRT,10,2000,200,0.1,12.35,beta1,0.01,10000,198.3719,2.235503357
WLRT,10,2000,200,0.1,12.35,beta1,0.02,10000,184.328,2.095678368
